Task,LeftLabel,RightLabel,faceImages,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,face_image_q.started,slider_trustworthy.started,text_trustworthy.started,slider_aggressive.started,text_aggressive.started,mouse_7.started,Confirm.started,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,frameRate,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_AF_237_223_N.png,0,0,0,0,0,0,0,24,,,,,,,,,,,,2023-04-07_19h46.49.027,FaceAttractiveness,2022.2.5,145.7441258163273,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_WF_250_167_N.png,0,0,0,0,0,1,1,93,,,,,,,,,,,,2023-04-07_19h46.49.027,FaceAttractiveness,2022.2.5,145.7441258163273,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_WF_200_099_N.png,0,0,0,0,0,2,2,92,,,,,,,,,,,,2023-04-07_19h46.49.027,FaceAttractiveness,2022.2.5,145.7441258163273,
treatment,0% Never,100% Always,images\ LIP_CFD_LM_203_026_N.png,0,0,0,0,0,3,3,52,,,,,,,,,,,,2023-04-07_19h46.49.027,FaceAttractiveness,2022.2.5,145.7441258163273,
treatment,0% Never,100% Always,images\ LIP_CFD_WF_200_099_N.png,0,0,0,0,0,4,4,54,,,,,,,,,,,,2023-04-07_19h46.49.027,FaceAttractiveness,2022.2.5,145.7441258163273,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_WF_002_004_N.png,0,0,0,0,0,5,5,15,,,,,,,,,,,,2023-04-07_19h46.49.027,FaceAttractiveness,2022.2.5,145.7441258163273,
treatment,0% Never,100% Always,images\FOREHEAD_006_M_F_N_A.png,0,0,0,0,0,6,6,0,,,,,,,,,,,,2023-04-07_19h46.49.027,FaceAttractiveness,2022.2.5,145.7441258163273,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_LF_224_176_N.png,0,0,0,0,0,7,7,12,,,,,,,,,,,,2023-04-07_19h46.49.027,FaceAttractiveness,2022.2.5,145.7441258163273,
treatment,0% Never,100% Always,images\ LIP_006_M_F_N_A.png,0,0,0,0,0,8,8,38,,,,,,,,,,,,2023-04-07_19h46.49.027,FaceAttractiveness,2022.2.5,145.7441258163273,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_WM_212_097_N.png,0,0,0,0,0,9,9,94,,,,,,,,,,,,2023-04-07_19h46.49.027,FaceAttractiveness,2022.2.5,145.7441258163273,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_AF_245_143_N.png,0,0,0,0,0,10,10,82,,,,,,,,,,,,2023-04-07_19h46.49.027,FaceAttractiveness,2022.2.5,145.7441258163273,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_LM_201_057_N.png,0,0,0,0,0,11,11,32,,,,,,,,,,,,2023-04-07_19h46.49.027,FaceAttractiveness,2022.2.5,145.7441258163273,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_WF_250_167_N.png,0,0,0,0,0,12,12,36,,,,,,,,,,,,2023-04-07_19h46.49.027,FaceAttractiveness,2022.2.5,145.7441258163273,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_LM_203_026_N.png,0,0,0,0,0,13,13,90,,,,,,,,,,,,2023-04-07_19h46.49.027,FaceAttractiveness,2022.2.5,145.7441258163273,
