Task,LeftLabel,RightLabel,faceImages,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,face_image_q.started,slider_trustworthy.started,text_trustworthy.started,slider_aggressive.started,text_aggressive.started,Confirm.started,mouse_7.started,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,frameRate,
treatment,0% Never,100% Always,"images\ LIP_CFD_BM_234_172_N.png
",0,0,0,0,0,0,0,49,,,,,,,,,,,,2023-04-07_19h51.49.465,FaceAttractiveness,2022.2.5,144.75299346898925,
treatment,0% Never,100% Always,images\ LIP_CFD_BF_214_308_N.png,0,0,0,0,0,1,1,46,,,,,,,,,,,,2023-04-07_19h51.49.465,FaceAttractiveness,2022.2.5,144.75299346898925,
treatment,0% Never,100% Always,images\FOREHEAD_087_M_M_N_A.png,0,0,0,0,0,2,2,2,,,,,,,,,,,,2023-04-07_19h51.49.465,FaceAttractiveness,2022.2.5,144.75299346898925,
treatment,0% Never,100% Always,images\ NASALTIP_035_M_F_N_A.png,0,0,0,0,0,3,3,58,,,,,,,,,,,,2023-04-07_19h51.49.465,FaceAttractiveness,2022.2.5,144.75299346898925,
treatment,0% Never,100% Always,images\ LIP_087_M_M_N_A.png,0,0,0,0,0,4,4,40,,,,,,,,,,,,2023-04-07_19h51.49.465,FaceAttractiveness,2022.2.5,144.75299346898925,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_LM_201_057_N.png,0,0,0,0,0,5,5,13,,,,,,,,,,,,2023-04-07_19h51.49.465,FaceAttractiveness,2022.2.5,144.75299346898925,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_BM_213_134_N.png,0,0,0,0,0,6,6,67,,,,,,,,,,,,2023-04-07_19h51.49.465,FaceAttractiveness,2022.2.5,144.75299346898925,
treatment,0% Never,100% Always,images\ LIP_CFD_WM_212_097_N.png,0,0,0,0,0,7,7,56,,,,,,,,,,,,2023-04-07_19h51.49.465,FaceAttractiveness,2022.2.5,144.75299346898925,
treatment,0% Never,100% Always,images\ LIP_CFD_LM_201_057_N.png,0,0,0,0,0,8,8,51,,,,,,,,,,,,2023-04-07_19h51.49.465,FaceAttractiveness,2022.2.5,144.75299346898925,
treatment,0% Never,100% Always,"images\ RCHEEK_136_M_M_N_A.png
",0,0,0,0,0,9,9,79,,,,,,,,,,,,2023-04-07_19h51.49.465,FaceAttractiveness,2022.2.5,144.75299346898925,
