Task,LeftLabel,RightLabel,faceImages,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,face_image_q.started,slider_trustworthy.started,text_trustworthy.started,slider_aggressive.started,text_aggressive.started,Confirm.started,mouse_7.started,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,frameRate,
treatment,0% Never,100% Always,"images\ LCHEEK_CFD_AM_233_236_N.png
",0,0,0,0,0,0,0,26,,,,,,,,,,,,2023-04-07_19h48.09.913,FaceAttractiveness,2022.2.5,144.0036173447666,
treatment,0% Never,100% Always,images\ RCHEEK_035_M_F_N_A.png,0,0,0,0,0,1,1,77,,,,,,,,,,,,2023-04-07_19h48.09.913,FaceAttractiveness,2022.2.5,144.0036173447666,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_LF_224_176_N.png,0,0,0,0,0,2,2,88,,,,,,,,,,,,2023-04-07_19h48.09.913,FaceAttractiveness,2022.2.5,144.0036173447666,
treatment,0% Never,100% Always,images\ RCHEEK_006_M_F_N_A.png,0,0,0,0,0,3,3,76,,,,,,,,,,,,2023-04-07_19h48.09.913,FaceAttractiveness,2022.2.5,144.0036173447666,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_AF_245_143_N.png,0,0,0,0,0,4,4,6,,,,,,,,,,,,2023-04-07_19h48.09.913,FaceAttractiveness,2022.2.5,144.0036173447666,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_BF_214_308_N.png,0,0,0,0,0,5,5,8,,,,,,,,,,,,2023-04-07_19h48.09.913,FaceAttractiveness,2022.2.5,144.0036173447666,
treatment,0% Never,100% Always,images\ LIP_CFD_AF_237_223_N.png,0,0,0,0,0,6,6,43,,,,,,,,,,,,2023-04-07_19h48.09.913,FaceAttractiveness,2022.2.5,144.0036173447666,
treatment,0% Never,100% Always,images\ LIP_CFD_LF_224_176_N.png,0,0,0,0,0,7,7,50,,,,,,,,,,,,2023-04-07_19h48.09.913,FaceAttractiveness,2022.2.5,144.0036173447666,
treatment,0% Never,100% Always,images\ LCHEEK_087_M_M_N_A.png,0,0,0,0,0,8,8,21,,,,,,,,,,,,2023-04-07_19h48.09.913,FaceAttractiveness,2022.2.5,144.0036173447666,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_BF_224_002_N.png,0,0,0,0,0,9,9,85,,,,,,,,,,,,2023-04-07_19h48.09.913,FaceAttractiveness,2022.2.5,144.0036173447666,
