Task,LeftLabel,RightLabel,faceImages,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,face_image_q.started,slider_trustworthy.started,text_trustworthy.started,slider_aggressive.started,text_aggressive.started,Confirm.started,mouse_7.started,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,frameRate,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_AF_231_357_N.png,0,0,0,0,0,0,0,61,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\ LIP_CFD_AF_231_357_N.png,0,0,0,0,0,1,1,42,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\ LIP_006_M_F_N_A.png,0,0,0,0,0,2,2,38,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\ LIP_035_M_F_N_A.png,0,0,0,0,0,3,3,39,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,"images\ NASALTIP_136_M_M_N_A.png
",0,0,0,0,0,4,4,60,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\ NASALTIP_087_M_M_N_A.png,0,0,0,0,0,5,5,59,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_BF_224_002_N.png,0,0,0,0,0,6,6,66,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_WF_200_099_N.png,0,0,0,0,0,7,7,73,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\ LIP_CFD_BM_213_134_N.png,0,0,0,0,0,8,8,48,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_AF_245_143_N.png,0,0,0,0,0,9,9,25,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_BF_214_308_N.png,0,0,0,0,0,10,10,65,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\ RCHEEK_035_M_F_N_A.png,0,0,0,0,0,11,11,77,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_LM_203_026_N.png,0,0,0,0,0,12,12,33,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_LM_201_057_N.png,0,0,0,0,0,13,13,13,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_LM_203_026_N.png,0,0,0,0,0,14,14,14,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_WF_200_099_N.png,0,0,0,0,0,15,15,92,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\ LIP_CFD_LM_203_026_N.png,0,0,0,0,0,16,16,52,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\FOREHEAD_136_M_M_N_A.png,0,0,0,0,0,17,17,3,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_AF_245_143_N.png,0,0,0,0,0,18,18,6,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_BF_224_002_N.png,0,0,0,0,0,19,19,9,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_WM_212_097_N.png,0,0,0,0,0,20,20,18,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_BM_234_172_N.png,0,0,0,0,0,21,21,11,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,"images\ LCHEEK_CFD_BM_234_172_N.png
",0,0,0,0,0,22,22,30,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,"images\ LCHEEK_136_M_M_N_A.png
",0,0,0,0,0,23,23,22,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\ LIP_087_M_M_N_A.png,0,0,0,0,0,24,24,40,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_AF_237_223_N.png,0,0,0,0,0,25,25,81,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_WM_212_097_N.png,0,0,0,0,0,26,26,94,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,"images\ RCHEEK_CFD_AM_233_236_N.png
",0,0,0,0,0,27,27,83,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\FOREHEAD_035_M_F_N_A.png,0,0,0,0,0,28,28,1,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_BF_214_308_N.png,0,0,0,0,0,29,29,8,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,"images\ NASALTIP_CFD_WF_002_004_N.png
",0,0,0,0,0,30,30,72,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\ LIP_CFD_AF_245_143_N.png,0,0,0,0,0,31,31,44,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_LM_201_057_N.png,0,0,0,0,0,32,32,70,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\FOREHEAD_006_M_F_N_A.png,0,0,0,0,0,33,33,0,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_LM_203_026_N.png,0,0,0,0,0,34,34,71,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,"images\ RCHEEK_CFD_BM_234_172_N.png
",0,0,0,0,0,35,35,87,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_WF_002_004_N.png,0,0,0,0,0,36,36,15,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\ LIP_CFD_WF_250_167_N.png,0,0,0,0,0,37,37,55,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_AF_237_223_N.png,0,0,0,0,0,38,38,62,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_BM_213_134_N.png,0,0,0,0,0,39,39,10,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_AF_237_223_N.png,0,0,0,0,0,40,40,24,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_WF_250_167_N.png,0,0,0,0,0,41,41,93,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
treatment,0% Never,100% Always,images\ LIP_CFD_BF_224_002_N.png,0,0,0,0,0,42,42,47,,,,,,,,,,,,2023-04-07_19h49.36.092,FaceAttractiveness,2022.2.5,144.1703285069056,
