17.1541 	INFO 	Loaded monitor calibration from ['2021_12_01 18:33']
17.1605 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
19.5231 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0.09803922, 0.09803922, 0.09803922]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002665D1D4D30>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000266629031C0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
19.5232 	EXP 	window1: mouseVisible = True
19.5232 	EXP 	window1: mouseVisible = False
19.5232 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
19.5232 	EXP 	window1: recordFrameIntervals = False
19.5924 	EXP 	window1: recordFrameIntervals = True
19.6687 	EXP 	Screen (0) actual frame rate measured at 144.55Hz
19.6687 	EXP 	window1: recordFrameIntervals = False
21.2759 	INFO 	keyboard.Keyboard is using iohub backend.
21.3522 	EXP 	Created ques_instr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='ques_instr', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
21.3524 	EXP 	window1: mouseVisible = True
21.3559 	EXP 	window1: mouseVisible = True
21.3802 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
21.3804 	DEBUG 	Uploading Texture Font fontname to graphics card
21.3853 	DEBUG 	Upload of Texture Font fontname complete
